,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,Cl,CO3,SO4,TDS
45,FW021,FSU Well,r,s,30,0.9,7.61,70.527,2.544,3.801,0.727,211.4457,4.9912,0.3973,3.2481,242.89999999999998
46,FW022,FSU Well,r,s,30,0.9,7.5,70.113,2.535,3.85,0.69,209.3219,2.6014,0.3053,2.0316,240.79999999999998
47,FW023,FSU Well,r,s,30,0.9,7.39,64.303,2.383,5.073,1.063,191.5831,5.3829,0.2169,7.7783,229.6
48,FW024,FSU Well,r,s,30,0.9,7.41,66.959,2.35,5.009,1.035,197.1568,5.5672,0.2337,6.4047,235.2
49,FW025,FSU Well,r,s,30,0.9,6.81,22.738,1.169,13.169,3.09,38.2678,7.287,0.0114,36.4988,146.29999999999998
50,FW026,FSU Well,r,s,30,0.9,7.38,52.359,1.969,6.798,1.389,160.45,5.0041,0.1775,11.5226,213.5
51,WS001,Wakulla Springs,b,o,30,0.9,8.46,46.751,10.043,5.53,0.759,162.8272,7.34,2.1659,9.7799,217.0
52,WS002,Wakulla Springs,b,o,30,0.9,7.94,46.627,10.059,5.603,1.208,168.2967,5.1014,0.6761,6.9848,217.7
53,WS003,Wakulla Springs,b,o,30,0.9,8.37,46.977,10.043,5.531,1.088,166.8871,5.7807,1.8044,7.9923,217.0
54,WS004,Wakulla Springs,b,o,30,0.9,7.66,46.646,9.952,5.748,0.649,168.7301,5.8059,0.3557,7.9212,219.1
55,WS005,Wakulla Springs,b,o,30,0.9,7.93,46.785,10.142,6.202,0.543,169.5385,6.5618,0.6655,8.1433,220.5
56,WS006,Wakulla Springs,b,o,30,0.9,7.68,46.763,10.151,5.584,0.662,168.695,5.7884,0.3724,7.9282,219.79999999999998
57,WS007,Wakulla Springs,b,o,30,0.9,7.66,46.703,10.195,5.431,1.011,173.465,4.7793,0.3657,6.9361,220.5
58,WS008,Wakulla Springs,b,o,30,0.9,7.54,46.724,10.231,5.591,0.921,173.0435,4.147,0.2767,6.348,220.5
59,WS009,Wakulla Springs,b,o,30,0.9,7.76,46.141,10.109,5.433,0.688,168.5364,5.221,0.4473,7.4109,218.39999999999998
60,WS010,Wakulla Springs,b,o,30,0.9,7.55,46.05,9.757,5.451,0.81,169.2628,5.097,0.277,7.1493,217.0
61,WS011,Wakulla Springs,b,o,30,0.9,7.63,45.954,10.059,5.398,0.65,169.1444,4.2797,0.3328,6.006,216.29999999999998
62,WS012,Wakulla Springs,b,o,30,0.9,7.57,47.748,9.234,5.366,0.507,169.2352,6.6211,0.29,10.3997,216.29999999999998
63,WS013,Wakulla Springs,b,o,30,0.9,7.5,47.603,9.44,5.909,0.806,170.785,4.5777,0.2491,7.3165,221.2
64,WS014,Wakulla Springs,b,o,30,0.9,7.64,47.67,11.299,5.448,0.545,170.5854,4.1873,0.3434,6.3308,219.79999999999998
65,WS015,Wakulla Springs,b,o,30,0.9,7.59,45.65,9.791,5.405,0.599,166.0477,4.754,0.298,6.9755,213.5
66,WS016,Wakulla Springs,b,o,30,0.9,7.64,46.011,9.591,5.331,0.577,167.914,4.6318,0.3381,8.3917,214.2
67,WS017,Wakulla Springs,b,o,30,0.9,7.71,45.786,9.666,5.385,0.547,165.3626,7.7124,0.3912,12.4231,213.5
68,WS018,Wakulla Springs,b,o,30,0.9,7.59,45.546,9.731,5.393,0.59,167.5055,6.9102,0.3006,10.138,213.5
69,WS019,Wakulla Springs,b,o,30,0.9,7.55,46.316,9.748,5.38,0.556,167.4399,8.1153,0.274,9.6972,214.2
70,WS020,Wakulla Springs,b,o,30,0.9,7.46,45.84,9.531,5.295,0.592,168.6427,5.6181,0.2243,8.3509,211.39999999999998
71,WS021,Wakulla Springs,b,o,30,0.9,7.49,46.775,9.562,5.25,0.627,166.6633,3.7756,0.2375,6.2653,213.5
72,WS022,Wakulla Springs,b,o,30,0.9,7.37,43.847,9.294,5.086,0.55,159.3637,7.1763,0.1723,9.9069,205.1
73,WS023,Wakulla Springs,b,o,30,0.9,7.98,45.501,9.189,5.141,0.558,166.2267,7.2922,0.7322,10.7847,209.29999999999998
74,WS024,Wakulla Springs,b,o,30,0.9,7.485,44.493,9.435,4.705,0.642,161.1981,6.0072,0.2271,8.069,203.7
75,WS025,Wakulla Springs,b,o,30,0.9,7.49,41.069,8.81,5.133,0.642,161.6787,5.9007,0.2304,7.8616,205.79999999999998
